Player,Presenze,Riusciti,%,score
Jefferson Agustín Farfán Guadalupe,2,2,1.0,1.30465293668955
Thiago Alcântara do Nascimento,2,5,0.8333333333333334,2.718714121699196
Lucas Vázquez Iglesias,2,2,0.5,-0.10090854027861929
Armando Enrique Cooper Whitaker,2,4,0.5,-1.408014847828381
Branislav Ivanović,2,2,1.0,1.6799281668738777
Duško Tošić,2,0,0.0,-1.0
Luka Milivojević,2,0,0.0,-1.0
Julian Draxler,2,5,0.7142857142857143,2.5229846427972866
Jonas Hector,2,1,0.5,-0.4
Mario Gavranović,2,0,0.0,-2.0
Fayçal Fajr,2,0,0.0,-1.0
Khalid Boutaïb,2,3,1.0,1.566400850611377
Syam Ben Youssef,2,2,1.0,1.4385964912280702
Nemanja Radonjić,2,1,1.0,0.4444444444444445
Ali Maâloul,2,1,1.0,0.6
Filipe Luís Kasmirski,2,1,0.5,-0.5555555555555556
Anderson Santamaría Bardales,2,1,1.0,0.6417910447761193
Christian Bolaños Navarro,2,1,0.5,-0.4
Takashi Usami,2,3,1.0,1.7705769756631118
Aleksandr Erokhin,2,0,0.0,-1.0
Mats Hummels,2,2,1.0,1.391661594643944
Guillermo Varela Olivera,2,1,1.0,0.9384615384615382
Blas Antonio Miguel Pérez Ortega,2,1,0.5,-0.46376811594202894
Ari Freyr Skúlason,2,0,0.0,-1.0
Gabriel Arturo Torres Tejada,2,0,0.0,-1.0
Mesut Özil,2,7,0.7,0.6254934974425287
Alberto Junior Rodríguez Valdelomar,2,0,0.0,-1.0
Luis Carlos Tejada Hansell,2,0,0.0,-3.0
Thorgan Hazard,2,2,1.0,1.5883046848668687
Raúl Alonso Jiménez Rodríguez,2,0,0.0,-1.0
Łukasz Piszczek,2,0,0.0,-1.0
Emil Hallfreðsson,2,4,0.5714285714285714,-0.9530796688691425
Jacek Góralski,2,1,0.5,-0.5434782608695652
Maciej Rybus,2,1,0.5,-0.4426229508196722
Dawid Kownacki,2,0,0.0,-2.0
Emil Krafth,2,2,0.6666666666666666,0.8769230769230765
Kenneth Josiah Omeruo,2,1,1.0,0.48051948051948057
Łukasz Teodorczyk,2,1,0.3333333333333333,-1.3669064748201438
Sami Khedira,2,2,1.0,1.2765717860494212
Artur Jędrzejczyk,1,1,1.0,0.6
Rafał Kurzawa,1,1,0.3333333333333333,-1.6464646464646466
Yoshinori Muto,1,0,0.0,-2.0
Amine Harit,1,8,0.6153846153846154,-0.4147360336360921
Jimmy Durmaz,1,0,0.0,-2.0
Thomas Lemar,1,3,0.75,0.5927536231884059
José Heriberto Izquierdo Mena,1,2,0.5,-0.7871345029239766
Viktor Fischer,1,0,0.0,-2.0
"Papa Alioune N""Diaye",1,1,1.0,0.48051948051948057
Leon Goretzka,1,1,1.0,0.6434782608695652
Masoud Shojaei Soleimani,1,2,0.6666666666666666,0.31416527479519596
Oribe Peralta Morones,1,1,1.0,0.6434782608695652
Omar Ibrahim Omar Othman Hawsawi,1,1,1.0,0.5573770491803278
Gelson Dany Batalha Martins,1,2,0.6666666666666666,0.09243257397224403
Trent Alexander-Arnold,1,1,0.5,-0.03937007874015752
Adnan Januzaj,1,2,0.3333333333333333,-2.0443258296588533
Manuel Henrique Tavares Fernandes,1,1,1.0,1.131782945736434
Oussama Haddadi,1,0,0.0,-1.0
Ricardo Domingos Barbosa Pereira,1,1,0.5,-0.3669064748201438
Danilo Luiz da Silva,1,1,1.0,0.7192982456140351
Ismael Díaz De León,1,0,0.0,-2.0
Abdullahi Shehu,1,0,0.0,-1.0
Christopher Paolo César Hurtado Huertas,1,1,1.0,0.9384615384615382
Lamine Gassama,1,2,0.6666666666666666,0.2492551413414723
Jonas Knudsen,1,1,1.0,0.6981132075471698
Jakub Błaszczykowski,1,1,0.5,-0.5714285714285714
Joo-Ho Park,1,1,1.0,0.768421052631579
Rami Bedoui,1,0,0.0,-1.0
Jonathan Matías Urretaviscaya da Luz,1,2,1.0,1.5715550636413944
Duje Ćaleta-Car,1,1,1.0,0.6417910447761193
Marcos Javier Acuña,1,2,0.5,-0.09979600163198699
Saîf-Eddine Khaoui,1,1,0.5,-0.2807017543859649
Paulo Bruno Exequiel Dybala,1,1,1.0,0.9384615384615382
Ahmed Khalil,1,0,0.0,-1.0
Aleksey Miranchuk,1,1,1.0,0.6417910447761193
Jonathan dos Santos Ramírez,1,0,0.0,-1.0
